Year,Month,Day,Period,COPPER_SHEET
2018,2,9,7,34061.508
2018,2,9,8,33827.54
2018,2,9,9,34006.88
2018,2,9,10,35253.66
2018,2,9,11,38205.457
2018,2,9,12,41371.53
2018,2,9,13,40959.582
2018,2,9,14,40152.13
2018,2,9,15,39382.207
2018,2,9,16,38690.36
2018,2,9,17,37862.348
2018,2,9,18,37032.465
2018,2,9,19,36322.426
2018,2,9,20,35784.49
2018,2,9,21,35549.863
2018,2,9,22,35664.637
2018,2,9,23,36568.082
2018,2,9,24,37656.645
2018,2,10,1,37210.62
2018,2,10,2,36407.74
2018,2,10,3,35278.902
2018,2,10,4,33413.527
2018,2,10,5,31590.318
2018,2,10,6,30278.969
2018,2,10,7,29473.436
2018,2,10,8,29149.025
2018,2,10,9,29184.264
2018,2,10,10,29581.15
2018,2,10,11,30877.564
2018,2,10,12,32990.637
2018,2,10,13,34914.113
2018,2,10,14,37112.383
2018,2,10,15,38981.58
2018,2,10,16,39965.473
2018,2,10,17,40485.715
2018,2,10,18,40440.77
2018,2,10,19,40395.656
2018,2,10,20,40419.188
2018,2,10,21,40679.855
2018,2,10,22,41198.0
2018,2,10,23,42283.56
2018,2,10,24,43541.035
2018,2,11,1,43419.938
2018,2,11,2,42902.434
2018,2,11,3,41930.734
2018,2,11,4,40665.67
